Distance,Qfactor_Diff,ER_Diff
3271.8,5.65,1.929
3297.789,883.759,7.072
3374.554,10.75,2.784
3498.755,888.532,4.958
3012.21,1.85,3.004
3665.618,1064.317,0.101
7676.464,1.45,2.007
7323.616,0.55,3.089
6977.396,1070.428,0.122
6638.842,0.85,0.198
6309.19,1.2,1.379
5989.907,1072.706,0.155
5682.743,1.8,4.123
5389.769,878.941,3.452
5113.427,0.9,1.529
6875.693,0.35,2.909
4856.554,0.65,3.443
4622.399,0.5,0.38
4414.578,0.7,0.849
4236.967,2.75,2.497
4093.501,1612.35,6.301
3987.866,880.214,1.382
3923.121,1071.261,0.708
3901.3,6.45,0.342
3923.121,2234.812,8.209
3987.866,10.5,1.513
6479.382,880.305,5.284
4093.501,889.941,3.67
4237.006,11.8,1.755
8014.8,1073.039,1.441
7677.516,1074.706,0.208
7347.991,1.2,1.607
7027.314,0.6,0.185
6716.754,1073.539,0.036
6417.78,2.2,1.449
6132.086,0.25,0.327
5861.615,0.4,0.302
6085.318,880.486,4.925
5608.569,1.75,1.931
5375.41,1073.872,0.809
5164.832,1074.15,0.211
4979.7,0.7,0.826
4822.945,2.8,1.786
4697.41,1073.039,0.468
4605.648,1073.983,0.697
4549.702,3.6,0.154
4530.9,4.35,1.084
4549.702,4.35,5.113
5693.968,1075.539,0.294
4605.648,1061.372,0.363
4697.41,14.25,0.936
4822.98,11.25,0.657
8386.788,1070.817,0.331
8065.076,1070.872,0.006
7752.042,1069.372,0.726
7448.78,1.3,2.575
7156.534,1612.183,6.156
6876.706,1070.706,2.482
6610.875,0.35,2.892
5305.932,1067.706,1.437
6360.795,1611.85,5.549
6128.396,879.532,5.013
5725.092,1611.683,8.089
5558.651,1070.317,0.674
5418.671,0.15,3.883
5226.201,1.9,2.091
5176.966,880.941,4.936
5160.45,884.123,3.237
4921.995,1069.372,0.38
5176.966,881.214,2.97
5226.201,1065.817,0.929
5307.245,1619.6,5.69
5418.701,1062.428,0.742
8736.593,881.168,4.175
8428.244,1.55,2.584
8129.207,1068.428,0.6
7840.547,881.077,3.018
7563.453,1073.094,0.138
7299.242,5.6,0.868
4543.194,2.1,2.651
7049.363,1075.65,0.798
6815.392,0.25,3.515
6599.021,880.986,4.162
6402.036,1074.372,0.34
6226.277,1074.094,1.822
6073.586,3.05,3.272
5945.741,1.25,2.671
5844.373,1069.706,0.52
5770.877,1072.928,0.788
5726.327,5.95,0.287
4170.93,0.9,0.737
5711.4,883.986,2.893
5726.327,3.2,1.552
5770.877,6.8,1.212
5844.373,10.0,0.207
5945.769,1061.928,2.014
6309.14,3.05,3.327
3807.122,0.95,1.033
3454.441,1068.761,2.636
3116.668,3.3,1.217
2799.204,1072.15,0.282
2509.768,1.4,3.706
2259.158,1071.928,0.171
2061.583,4.8,0.834
1933.371,0.05,2.321
1888.7,1075.372,0.806
1933.371,1079.094,0.587
5932.573,3.25,2.996
2061.583,0.25,0.081
2259.158,1067.817,0.982
2509.834,1074.872,0.541
6730.03,881.032,5.773
6324.598,2411.838,0.063
5920.24,1069.872,0.099
5517.193,881.123,3.963
5115.766,0.25,2.616
4716.373,0.75,1.927
4319.578,878.895,6.395
5561.21,5.2,4.122
3926.169,0.95,2.352
3537.276,0.5,0.91
3154.57,0.4,3.645
2780.605,1.1,3.924
2419.44,1072.594,3.09
2077.759,878.759,4.446
1766.902,1.7,1.799
1506.078,1.5,4.948
1325.167,0.8,3.324
1259.1,1.85,1.51
5196.169,881.623,4.543
1325.167,0.95,4.015
1506.078,2.4,0.481
1766.902,4.95,2.573
2077.838,1071.983,1.957
6641.111,881.395,4.136
6229.896,2.5,4.089
5818.961,2762.886,7.886
5408.372,0.6,3.477
4998.212,1.25,2.711
4588.599,1.65,0.946
4838.88,1067.594,1.856
4179.691,1.2,2.571
3771.72,1612.225,6.407
3365.024,2.75,4.987
2960.131,1.35,1.565
2557.895,1074.539,0.494
2159.804,877.85,7.491
1390.325,877.986,4.414
1038.91,3.1,1.161
753.081,880.895,3.318
4491.192,881.259,4.176
753.081,876.259,2.887
1390.325,4.65,3.907
1768.749,881.714,5.817
6611.2,881.532,4.735
6198.0,1612.058,7.274
5784.8,1069.15,0.399
5371.6,0.75,1.806
4958.4,1.45,3.858
4155.517,1068.983,1.03
4545.2,0.85,1.68
4132.0,0.0,0.168
3718.8,0.8,3.179
3305.6,879.259,6.44
2892.4,878.668,4.657
2479.2,1.65,3.283
2066.0,1.0,1.456
1652.8,2.0,2.373
1239.6,0.8,3.62
7462.14,1610.883,5.158
4155.517,1607.183,4.697
826.4,1607.333,3.613
413.2,1610.183,6.58
413.2,1605.383,3.782
826.4,1602.533,3.785
1239.7,1604.483,5.529
7058.354,731.106,0.586
6647.265,728.606,1.523
6236.455,2682.889,4.957
5825.983,1608.383,3.59
3835.011,1608.083,3.543
5415.926,1607.583,3.367
5006.386,1606.533,2.372
4597.501,1607.733,3.439
4189.463,1609.133,3.9
3782.545,2687.111,5.404
3377.153,2686.389,4.439
2973.912,1609.833,3.878
2573.831,2683.278,7.769
2178.653,1609.183,6.478
1791.625,731.152,1.922
3533.803,1608.533,3.438
1419.43,1611.083,2.456
1077.548,729.561,1.844
805.547,2680.833,5.193
691.5,1605.983,5.029
805.547,5.708,0.415
1077.548,724.833,1.431
1419.517,1601.883,3.287
7147.552,1611.583,4.172
6741.904,731.197,2.612
6337.232,1607.683,3.346
3257.251,729.833,4.405
5933.735,1609.383,5.176
5531.672,2682.444,5.226
5131.378,1609.683,4.039
4733.302,2686.444,5.105
4338.056,1609.883,4.566
3946.489,1607.233,4.936
3559.817,2681.556,5.706
2809.224,1611.533,5.218
2452.277,1608.583,4.676
3012.155,1610.683,5.028
2115.905,1610.683,3.816
1811.605,2683.833,5.149
1558.282,1605.633,1.023
1384.211,1606.483,5.614
1321.1,1606.983,2.827
1384.211,6.5,1.739
1558.282,1599.933,5.761
1811.674,7.75,1.216
7290.228,1609.583,4.551
6892.982,1609.033,5.199
2806.767,2686.111,8.086
6497.725,1606.533,6.219
6104.846,1608.433,2.314
5714.833,730.697,2.088
5328.317,1611.083,2.419
4946.117,1610.183,4.071
4569.317,0.625,0.381
4199.369,731.424,1.983
3838.258,731.788,2.98
3488.726,2682.944,7.1
3154.626,2685.889,6.45
2650.334,1609.783,4.159
2841.406,1.875,1.688
2556.752,730.924,1.659
2311.242,2683.0,6.282
2118.53,1603.783,4.977
1993.982,1605.583,6.525
1950.7,729.697,2.969
1993.982,1602.283,7.203
2118.53,2668.889,6.963
